node,score
ENO1,0.2850361716918423
HK2,0.2848647764929298
PGK1,0.2846906068863271
GPI,0.0021766425029526065
TALDO1,0.00210651857803175
H6PD,0.0020849362288949632
PKM,0.0020811486027542776
ALDOA,0.002072122585724998
TKT,0.0020712610932078035
ALDOC,0.002068552550379164
TKTL2,0.0020683906587437764
TKTL1,0.002068331724683736
PFKM,0.0020666141245792888
ALDOB,0.0020634990467455674
PFKL,0.0020563307809775976
G6PD,0.0020508773561741973
PFKP,0.0020452567760962342
PFKFB3,0.001532827312934666
TIGAR,0.0015065822648628975
PFKFB4,0.0015052932958756222
HIF1A,0.0014928645823998046
SLC2A1,0.0014754075972939899
GAPDH,0.0014472854677232852
TPI1,0.0014435200367731934
ENO2,0.0013949787436934658
ENO3,0.0013916634195377082
PGK2,0.001390177005606166
PKLR,0.001381805800601065
PGAM1,0.001366543701218802
PGAM4,0.0013660183748788577
PGAM2,0.0013600420389247077
BPGM,0.001351066273358131
GAPDHS,0.0013337474167434851
PGD,0.001304155283741963
MDH2,0.0012839567338500369
IDH1,0.0012822305725446628
ACTB,0.001276712624903677
IDH2,0.0012764915303212806
FH,0.0012750373336998012
HSP90AA1,0.00127404058967882
PLG,0.0012728809167568932
HSPA8,0.001268170866320533
CSTF3,0.0012629579866294102
EEF2,0.0012545225290697235
YWHAZ,0.0012521167887694922
PPIA,0.0012490158036192371
DERA,0.0012460840043348345
PGM2,0.0012250144787219147
GLYCTK,0.0012228200222890882
AKT1,0.0011582196222755404
VDAC1,0.0011462218384855167
HK1,0.0009290759256334614
ENO4,0.0009179683863587951
HK3,0.0009104595497237784
HKDC1,0.0009102853680662966
RNASEH1,0.0008059444853439291
HSPD1,0.0008031240918880137
PNMA8B,0.0008000495116509274
SLC16A3,0.0007982920813927374
SDHA,0.0007976998933082085
GCK,0.000792608666144042
EEF1A1,0.0007899703932938094
MPI,0.0007884023629954397
FBP1,0.0007882075511806064
VCP,0.0007845555197860198
VASP,0.0007803529680631578
HPRT1,0.0007803338074474748
FBP2,0.0007700392775537764
G6PC1,0.0007699301599121138
G6PC2,0.0007584905489992014
G6PC3,0.0007580507181340594
ADPGK,0.0007381298510899301
